,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
91,CHATHAM,Non-STEM,Not Free,face_to_face,100,1783.0,35.88,41.734193000300046,17.83,31028.0,32057.0,0.01,0.972,0.004,0.001,1.7,25.6,16.7,11.8,37.7,25788.0,49.2
92,CHATHAM,STEM,Free,face_to_face,15,14030.0,77.53333333333333,41.753079224000004,935.3333333333334,31028.0,32057.0,0.01,0.972,0.004,0.001,1.7,25.6,16.7,11.8,37.7,25788.0,49.2
93,CHATHAM,STEM,Not Free,face_to_face,6,30.0,85.5,41.733181,5.0,31028.0,32057.0,0.01,0.972,0.004,0.001,1.7,25.6,16.7,11.8,37.7,25788.0,49.2
94,CHICAGO LAWN,Non-STEM,Free,face_to_face,322,41162.0,48.40372670807454,41.77031153453395,127.83229813664596,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0
95,CHICAGO LAWN,Non-STEM,Free,online,4,1859.0,99.0,41.77054596,464.75,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0
96,CHICAGO LAWN,Non-STEM,Not Free,face_to_face,297,5232.0,40.505050505050505,41.76987299077463,17.616161616161616,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0
97,CHICAGO LAWN,Non-STEM,Not Free,online,22,300.0,99.0,41.77054596000002,13.636363636363637,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0
98,CHICAGO LAWN,STEM,Free,face_to_face,2,117.0,99.0,41.829133985,58.5,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0
99,CHICAGO LAWN,STEM,Not Free,face_to_face,10,28.0,72.0,41.770610426,2.8,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0
100,CLEARING,Non-STEM,Free,face_to_face,254,33297.0,53.10629921259842,41.782168330632274,131.09055118110237,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
101,CLEARING,Non-STEM,Free,online,4,72.0,99.0,,18.0,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
102,CLEARING,Non-STEM,Not Free,face_to_face,636,13683.0,21.99685534591195,41.781761860125684,21.514150943396228,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
103,CLEARING,Non-STEM,Not Free,online,14,242.0,29.785714285714285,41.78257097857142,17.285714285714285,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
104,CLEARING,STEM,Free,face_to_face,12,214.0,26.25,41.78196938999999,17.833333333333332,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
105,CLEARING,STEM,Not Free,face_to_face,14,47.0,73.5,41.7829137542857,3.357142857142857,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4
106,DUNNING,Non-STEM,Free,face_to_face,260,214481.0,47.526923076923076,41.942118850500016,824.9269230769231,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
107,DUNNING,Non-STEM,Free,online,2,1831.0,99.0,,915.5,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
108,DUNNING,Non-STEM,Not Free,face_to_face,725,12260.0,27.26896551724138,41.94700965204168,16.910344827586208,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
109,DUNNING,Non-STEM,Not Free,online,41,694.0,65.0,41.9462611529268,16.926829268292682,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
110,DUNNING,STEM,Free,face_to_face,7,362.0,41.285714285714285,41.943654741428574,51.714285714285715,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
111,DUNNING,STEM,Not Free,face_to_face,80,390.0,46.9375,41.94848852312498,4.875,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5
112,EAST SIDE,Non-STEM,Free,face_to_face,241,65955.0,35.72199170124481,41.700438726597554,273.6721991701245,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
113,EAST SIDE,Non-STEM,Not Free,face_to_face,495,5854.0,25.88282828282828,41.71052057303029,11.826262626262626,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
114,EAST SIDE,Non-STEM,Not Free,online,9,97.0,49.333333333333336,41.695910133333335,10.777777777777779,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
115,EAST SIDE,STEM,Free,face_to_face,12,515.0,55.416666666666664,41.70273780916667,42.916666666666664,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
116,EAST SIDE,STEM,Not Free,face_to_face,24,203.0,71.54166666666667,41.713692665,8.458333333333334,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5
