,,TOTAL HOUSEHOLDS,,,,,,,,,TOTAL HOUSEHOLD POPULATION,,,,,,,,,TOTAL EMPLOYMENT (WAGE & SALARY),,,,,,,
61,New City," 12,109 "," 12,667 "," 13,434 "," 14,316 "," 15,178 "," 16,037 "," 17,279 "," 18,040 ",," 41,903 "," 43,479 "," 45,416 "," 47,757 "," 50,168 "," 52,731 "," 56,345 "," 58,531 ",," 11,422 "," 11,788 "," 12,012 "," 12,414 "," 12,956 "," 13,566 "," 14,490 "," 15,865 "
5,North Center," 15,816 "," 16,122 "," 16,307 "," 16,431 "," 16,480 "," 16,356 "," 16,265 "," 16,252 ",," 34,573 "," 35,332 "," 35,852 "," 36,375 "," 36,707 "," 36,729 "," 36,729 "," 36,729 ",," 12,718 "," 12,848 "," 12,996 "," 13,218 "," 13,382 "," 13,485 "," 13,499 "," 13,513 "
29,North Lawndale," 11,449 "," 12,256 "," 12,938 "," 13,797 "," 14,782 "," 16,085 "," 17,588 "," 18,593 ",," 34,432 "," 36,285 "," 37,708 "," 39,630 "," 41,969 "," 45,262 "," 48,962 "," 51,393 ",," 9,049 "," 9,365 "," 9,568 "," 9,888 "," 10,334 "," 10,960 "," 12,073 "," 13,222 "
13,North Park," 6,811 "," 7,124 "," 7,491 "," 7,828 "," 7,923 "," 7,927 "," 7,919 "," 7,932 ",," 17,791 "," 18,276 "," 18,760 "," 19,251 "," 19,392 "," 19,392 "," 19,392 "," 19,392 ",," 9,835 "," 10,205 "," 10,419 "," 10,665 "," 10,879 "," 10,934 "," 10,995 "," 11,071 "
10,Norwood Park," 14,985 "," 15,506 "," 16,164 "," 17,005 "," 17,754 "," 17,947 "," 17,990 "," 18,012 ",," 36,072 "," 36,782 "," 37,588 "," 38,714 "," 39,916 "," 40,169 "," 40,188 "," 40,188 ",," 14,398 "," 14,584 "," 14,833 "," 15,195 "," 15,696 "," 16,094 "," 16,146 "," 16,158 "
76,O'Hare," 6,440 "," 6,557 "," 6,709 "," 6,919 "," 7,030 "," 7,014 "," 7,000 "," 7,002 ",," 13,420 "," 13,610 "," 13,827 "," 14,159 "," 14,362 "," 14,362 "," 14,362 "," 14,362 ",," 59,228 "," 61,540 "," 61,661 "," 61,860 "," 62,085 "," 62,240 "," 62,413 "," 62,540 "
36,Oakland," 2,837 "," 2,916 "," 3,037 "," 3,154 "," 3,269 "," 3,326 "," 3,430 "," 3,428 ",," 6,428 "," 6,582 "," 6,792 "," 7,000 "," 7,211 "," 7,321 "," 7,519 "," 7,519 ",, 247 , 340 , 355 , 375 , 404 , 417 , 441 , 456 
15,Portage Park," 23,491 "," 23,861 "," 24,259 "," 24,738 "," 25,204 "," 25,396 "," 25,520 "," 25,511 ",," 64,824 "," 65,734 "," 66,653 "," 67,638 "," 68,631 "," 69,012 "," 69,236 "," 69,236 ",," 11,645 "," 11,958 "," 12,205 "," 12,486 "," 12,841 "," 13,017 "," 13,119 "," 13,132 "
50,Pullman," 2,819 "," 3,132 "," 3,589 "," 4,018 "," 4,354 "," 4,577 "," 4,702 "," 4,704 ",," 6,916 "," 7,506 "," 8,277 "," 8,974 "," 9,567 "," 9,999 "," 10,249 "," 10,249 ",," 2,665 "," 3,153 "," 3,324 "," 3,559 "," 3,797 "," 4,063 "," 4,263 "," 4,274 "
54,Riverdale," 2,379 "," 2,512 "," 2,700 "," 2,917 "," 3,111 "," 3,272 "," 3,417 "," 3,535 ",," 7,063 "," 7,359 "," 7,731 "," 8,245 "," 8,727 "," 9,145 "," 9,490 "," 9,755 ",," 1,515 "," 1,587 "," 1,706 "," 1,883 "," 2,103 "," 2,284 "," 2,562 "," 3,114 "
